iter	F1	Logloss
0	0.6016735149	0.6917590821
1	0.6109502594	0.6904481822
2	0.6092312224	0.689197983
3	0.6180292505	0.6879743208
4	0.6244374323	0.6868028768
5	0.6230459583	0.6857290984
6	0.6251285366	0.6846789778
7	0.6248700579	0.6836774176
8	0.6241567041	0.6827266748
9	0.6236313478	0.6817714183
10	0.6252563848	0.6808811426
11	0.624693018	0.6800478321
12	0.6250453	0.6792441715
13	0.6248845415	0.6784456471
14	0.6231072815	0.6777047105
15	0.6237212402	0.6769102328
16	0.6238976366	0.6762004247
17	0.6227096846	0.6755717842
18	0.6224216919	0.6749500699
19	0.622681143	0.674343375
20	0.6237427543	0.6737403377
21	0.6231160462	0.6731857831
22	0.6238680405	0.6726272596
23	0.624252835	0.6720340278
24	0.6249011711	0.6715211076
25	0.6253822772	0.6710128567
26	0.625722926	0.6704846057
27	0.6260602964	0.6699363546
28	0.6263203141	0.6694651466
29	0.6268173575	0.6690293473
30	0.6272319304	0.6685870889
31	0.6273003606	0.6681256086
32	0.6273670329	0.6677323775
33	0.6277875778	0.6672774342
34	0.6279853657	0.6668750202
35	0.6281508996	0.6665217893
36	0.6288325821	0.6658147828
37	0.629171108	0.6654609293
38	0.6292026273	0.665114002
39	0.6293151499	0.6648029502
40	0.6293593918	0.6644937662
41	0.6297342659	0.6641799907
42	0.6303467785	0.6635981987
43	0.6306002554	0.6633192093
44	0.6310438827	0.663042788
45	0.6308937654	0.6627974953
46	0.6316283086	0.6622503337
47	0.6318530346	0.6619450407
48	0.6321179065	0.6616581914
49	0.6321138589	0.6613980348
50	0.632178541	0.6611232478
51	0.6323035711	0.6608781107
52	0.6327954128	0.6604008326
53	0.6332227102	0.6601924272
54	0.6332987962	0.659934683
55	0.6337327737	0.6596717248
56	0.6338992346	0.6594065098
57	0.6342017856	0.6591675206
58	0.6347776158	0.6587226162
59	0.635204621	0.6584804363
60	0.635295703	0.6582833928
61	0.6354956558	0.6580960769
62	0.6357159946	0.6579072825
63	0.6355590676	0.6577601224
